Id,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
344,Plymouth Horizon 4,34.7,4,105.0,63.0,2215.0,14.9,81,US
345,Ford Escort 4W,34.4,4,98.0,65.0,2045.0,16.2,81,US
346,Ford Escort 2H,29.9,4,98.0,65.0,2380.0,20.7,81,US
347,Volkswagen Jetta,33.0,4,105.0,74.0,2190.0,14.2,81,Europe
348,Honda Prelude,33.7,4,107.0,75.0,2210.0,14.4,81,Japan
349,Toyota Corolla,32.4,4,108.0,75.0,2350.0,16.8,81,Japan
350,Datsun 200SX,32.9,4,119.0,100.0,2615.0,14.8,81,Japan
351,Mazda 626,31.6,4,120.0,74.0,2635.0,18.3,81,Japan
352,Peugeot 505s Turbo Diesel,28.1,4,141.0,80.0,3230.0,20.4,81,Europe
353,Volvo Diesel,30.7,6,145.0,76.0,3160.0,19.6,81,Europe
354,Toyota Cressida,25.4,6,168.0,116.0,2900.0,12.6,81,Japan
355,Datsun 810 Maxima,24.2,6,146.0,120.0,2930.0,13.8,81,Japan
356,Buick Century,22.4,6,231.0,110.0,3415.0,15.8,81,US
357,Oldsmobile Cutlass LS,26.6,8,350.0,105.0,3725.0,19.0,81,US
358,Ford Grenada gl,20.2,6,200.0,88.0,3060.0,17.1,81,US
359,Chrysler Lebaron Salon,17.6,6,225.0,85.0,3465.0,16.6,81,US
360,Chevrolet Cavalier,28.0,4,112.0,88.0,2605.0,19.6,82,US
361,Chevrolet Cavalier Wagon,27.0,4,112.0,88.0,2640.0,18.6,82,US
362,Chevrolet Cavalier 2-door,34.0,4,112.0,88.0,2395.0,18.0,82,US
363,Pontiac J2000 SE Hatchback,31.0,4,112.0,85.0,2575.0,16.2,82,US
364,Dodge Aries SE,29.0,4,135.0,84.0,2525.0,16.0,82,US
365,Pontiac Phoenix,27.0,4,151.0,90.0,2735.0,18.0,82,US
366,Ford Fairmont Futura,24.0,4,140.0,92.0,2865.0,16.4,82,US
367,Volkswagen Rabbit l,36.0,4,105.0,74.0,1980.0,15.3,82,Europe
368,Mazda GLC Custom l,37.0,4,91.0,68.0,2025.0,18.2,82,Japan
369,Mazda GLC Custom,31.0,4,91.0,68.0,1970.0,17.6,82,Japan
370,Plymouth Horizon Miser,38.0,4,105.0,63.0,2125.0,14.7,82,US
371,Mercury Lynx l,36.0,4,98.0,70.0,2125.0,17.3,82,US
372,Nissan Stanza XE,36.0,4,120.0,88.0,2160.0,14.5,82,Japan
373,Honda Accord,36.0,4,107.0,75.0,2205.0,14.5,82,Japan
374,Toyota Corolla,34.0,4,108.0,70.0,2245.0,16.9,82,Japan
375,Honda Civic,38.0,4,91.0,67.0,1965.0,15.0,82,Japan
376,Honda Civic (auto),32.0,4,91.0,67.0,1965.0,15.7,82,Japan
377,Datsun 310 GX,38.0,4,91.0,67.0,1995.0,16.2,82,Japan
378,Buick Century Limited,25.0,6,181.0,110.0,2945.0,16.4,82,US
379,Oldsmobile Cutlass Ciera (diesel),38.0,6,262.0,85.0,3015.0,17.0,82,US
380,Chrysler Lebaron Medallion,26.0,4,156.0,92.0,2585.0,14.5,82,US
381,Ford Grenada l,22.0,6,232.0,112.0,2835.0,14.7,82,US
382,Toyota Celica GT,32.0,4,144.0,96.0,2665.0,13.9,82,Japan
383,Dodge Charger 2.2,36.0,4,135.0,84.0,2370.0,13.0,82,US
384,Chevrolet Camaro,27.0,4,151.0,90.0,2950.0,17.3,82,US
385,Ford Mustang GL,27.0,4,140.0,86.0,2790.0,15.6,82,US
386,Volkswagen Pickup,44.0,4,97.0,52.0,2130.0,24.6,82,Europe
387,Dodge Rampage,32.0,4,135.0,84.0,2295.0,11.6,82,US
388,Ford Ranger,28.0,4,120.0,79.0,2625.0,18.6,82,US
389,Chevy S-10,31.0,4,119.0,82.0,2720.0,19.4,82,US
